Contract,,,,,,,,,,,,,,,,,,,,,,,,
Contract Name,Contract No.,Contract Status,Contract Type,Vendor(Vendor)_Vendor ID,Contract Document Code,Phase,City,Department ID,Contract Total Amount,Approved Job Orders Total,Not-Yet Approved Job Orders Total,Available Amount,NTP Date Construction/Sign Date Design,Award Date (Construction) / Sign Date (Design),Contract Duration,Revised Timeline,State_State,Contract(Master Contract)_Contract No.,Project Names,Type of Service,Project Delivery Method,Encumbrance/Not to Exceed (MA),Award Date,Award Date_Award Date
CP1024 EAST MESA SERVICE CENTER (ESMC) CUSTOMER SERVICE & BREAKROOM IMPROVEMENTS GH2 Architects Project Order,DO-F165-22005019,Approved,Project Order,VS0000011617,DO,102 - Design,Tulsa,F165,33674,0,0,33674,12/20/2021 00:00:00,12/20/2021 00:00:00,250,251,OK,MA-F165-21000159R1,"EMSC Customer Service and Break Room Improvements, EMSC Customer Service and Break Room Improvements - FUNDING ONLY",Professional Service,NA,33674,,
CP0511CAP City Well 9 Drain Line Improvements,DO-F165-16002651,Approved,Job Order,CNV668524,DO,104 - Construction,Phoenix,F165,60914.83,0,0,60914.83,09/28/2015 00:00:00,09/21/2015 00:00:00,45,46,AZ,MA-F165-14000391R2,City Well #9 Improvements,Construction,Job Order Contracting (JOC),60914.83,,
LF0033H08 Street Overlays  Talis Construction,DO-F165-15001813,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,514450.87,0,0,514450.87,09/28/2015 00:00:00,,150,0,AZ,MA-F920-13000770Y2,Residential Street Overlay HO8,Construction,Job Order Contracting (JOC),514450.87,,
CP0488RMMG Red Mtn Multi-Gen Restroom Renovations JOC SBD,DO-F165-17006995,Approved,Job Order,CNV673366,DO,104 - Construction,Tempe,F920,380242.07,0,0,380242.07,,03/30/2017 00:00:00,150,0,AZ,MA-F165-16000371,Red Mountain Multi-Gen Center Restroom Renovation,Construction,Job Order Contracting (JOC),380242.07,,
JOC-SPL19 Job Order Master Agreement Genesis Landscaping Solutions LLC RENEWAL,MA-F165-20000012R1,Approved,Job Order Master,VC0000025388,MA,104 - Construction,Mesa,F165,500000,0,0,500000,07/12/2020 00:00:00,07/12/2020 00:00:00,364,365,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0428 Southeast Mesa Library Richard & Kennedy Architects - Design Contract,CT-F165-22000076,Approved,Design Professional Services Contract,VS0000011918,CT,102 - Design,Phoenix,F165,1854810,0,0,1854810,01/03/2022 00:00:00,01/03/2022 00:00:00,910,911,AZ,,"Southeast Mesa Library, Southeast Mesa Library - FUNDING ONLY",Professional Service,NA,0,,
"14000166-Closed - CT carried over as Job Order, was CMAR contract",14000166,Closed,Job Order,CNV668524,CT,,Phoenix,F165,1632548.12,0,0,1632548.12,05/07/2014 00:00:00,06/10/2014 00:00:00,,0,AZ,MA-F165-14000391R1,"Pasadena Reservoir 42"" Line Rehabilitation",Construction,Job Order Contracting (JOC),1632548.12,,
Transportation Job Order Contract Master: Nesbitt JOC-T22,MA-F165-22000303,Approved,Job Order Master,CNV462756,MA,104 - Construction,Tempe,F165,10000000,2239121.12,1649740.59,6111138.29,06/23/2022 00:00:00,06/23/2022 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0318-003 Asphalt Repairs - 58th & Baltimore Water Main Leak -Talis,DO-F165-15007753,Approved,Job Order,CNV570044,DO,,Tempe,F165,50349.51,0,0,50349.51,03/04/2015 00:00:00,,30,0,AZ,MA-F920-13000770Y2,Water System Aging Main Rehab and Repairs FY 13-14 POM,Construction,Job Order Contracting (JOC),0,,
Master On-Call Electrical Engineering 2020 - LSW,MA-F165-21000146,Approved,Design Professional Master Contract,CNV514330,MA,,Phoenix,F165,1000000,0,0,1000000,,11/24/2020 00:00:00,0,0,AZ,,,Professional Service,NA,0,,
CP0858 Fire Safety Burn Tower Review Caruso Turley Scott,CT-F165-18000074,Approved,Design Professional Services Contract,VS0000007618,CT,102 - Design,Tempe,F920,12260,0,0,12260,,04/12/2018 00:00:00,0,0,AZ,,"Public Safety Training Facility Burn Tower, Public Safety Training Facility Burn Tower-Funding only",Professional Service,NA,0,,
CP0067 Greenfield Water Reclamation Plant Phase 3 Expansion  Hill International Inc,DO-F165-16006187,Approved,Project Order,VS0000004344,DO,102 - Design,Philadelphia,F165,122923.46,0,0,122923.46,,01/27/2016 00:00:00,,0,PA,MA-F165-16000210,Greenfield Wastewater Reclamation Plant Expansion,Professional Service,,122923.46,,
C10474-2 City Well #7 Transmission Main Peak Corrosion,CT-F165-18000064,Approved,Design Professional Services Contract,VS0000008534,CT,102 - Design,Tucson,F165,7780,0,0,7780,02/26/2018 00:00:00,02/06/2018 00:00:00,0,0,AZ,,"City Well #7 Re-drill - FUNDING ONLY, City Well #7 Re-drill Master",Professional Service,NA,0,,
CP0902 East Mesa Service Center Tenant Improvements EMC2 Project Order,DO-F165-19004811,Approved,Project Order,MAR6000224405,DO,102 - Design,Mesa,F165,14792,0,0,14792,,12/11/2018 00:00:00,0,0,AZ,MA-F165-17000201R1,"EMSC Utilities Building Tenant Improvements, EMSC Utilities Building Tenant Improvements GAS - Funding Only, EMSC Utilities Building Tenant Improvements WTR - Funding Only, EMSC Utilities Building Tenant Improvements WW - Funding Only",Professional Service,NA,14792,,
CP0504CAP Alma School Lift Station Slab Deflection,DO-F165-16000137,Approved,Job Order,VS0000000927,DO,104 - Construction,Tempe,F165,12818,0,0,12818,07/20/2015 00:00:00,,51,0,AZ,MA-F165-14000499R1,Alma School Lift Station Slab Deflection,Construction,Job Order Contracting (JOC),12818,,
CP0485CLVP Carriage Lane Pump Station,DO-F165-15011815,Approved,Job Order,CNV159034,DO,104 - Construction,Coolidge,F165,180529.59,0,0,180529.59,,07/08/2015 00:00:00,,0,AZ,MA-F165-14000500R1,Carriage Lane Pump Station,Construction,Job Order Contracting (JOC),180529.59,,
Master On-Call: Landscape Architecture - Kimley-Horn,MA-F165-16000354,Closed,Design Professional Master Contract,CNV445118,MA,102 - Design,City Of Industry,F165,1000000,0,0,1000000,,,,0,CA,,,Professional Service,NA,0,,
Master On-Call: Water-Wastewater Infrastructure in ROW - Dibble,MA-F165-15000136,Closed,Design Professional Master Contract,CNV241687,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/01/2014 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
CP0214CAP Communications Bldg Electrical Upgrades - Caliente,DO-F165-15005940,Approved,Job Order,VS0000000709,DO,104 - Construction,Tempe,F165,819061.24,0,0,819061.24,02/02/2015 00:00:00,,165,0,AZ,MA-F165-15000199,Communications Building Electrical/Mechanical,Construction,Job Order Contracting (JOC),819061.24,,
LF0079MBEI Elevator Modernization Caliente Construction Job Order,DO-F165-16006658,Closed,Job Order,VS0000000709,DO,104 - Construction,Tempe,F165,204062.76,0,0,204062.76,,03/16/2016 00:00:00,140,0,AZ,MA-F165-15000199R1,Municipal Bldg Elevator Impovements,Construction,Job Order Contracting (JOC),204062.76,,
"JOC-EL20 RENEWAL2 Job Order Contract Master: Hawkeye Electric, Inc.",MA-F165-21000128R2,Approved,Job Order Master,CNV109843,MA,104 - Construction,Chandler,F165,3000000,0,0,3000000,09/21/2022 00:00:00,09/21/2022 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
C09013CAP Soss Rd Recos ro N Williams Field Rd,DO-F165-14001276,Approved,Job Order,CNV668524,DO,,Phoenix,F165,340663.13,0,0,340663.13,09/17/2013 00:00:00,06/10/2014 00:00:00,36,0,AZ,,Soss Rd Pecos to N Williams Field RD,Construction,Job Order Contracting (JOC),340663.13,,
LF0206 UST Abandonment JOC Caliente,DO-F165-17001093,Approved,Job Order,VS0000000709,DO,104 - Construction,Tempe,F165,15797.67,0,0,15797.67,09/01/2016 00:00:00,08/09/2016 00:00:00,30,31,AZ,MA-F165-15000199R1,UST Abandonment-Communications Bldg,Construction,Job Order Contracting (JOC),0,,
Master RENEW On-Call 2018: Transportation - Lee Engineering,MA-F165-19000108R1,Approved,Design Professional Master Contract,VC0000013423,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/05/2019 00:00:00,10/05/2019 00:00:00,0,0,AZ,,,Professional Service,NA,0,,
14000174,MA-F165-14000174,Approved,Design Professional Master Contract,CNV241687,MA,,Phoenix,F165,1000000,0,0,1000000,06/11/2013 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
CP0557 Horne Drainage Improvements CSW Contractors,CT-F165-16000114,Approved,CMAR Construction Services Contract,CNV18091,CT,104 - Construction,Scottsdale,F165,956204.45,0,0,956204.45,04/28/2016 00:00:00,04/27/2016 00:00:00,130,131,AZ,,Horne Rd Storm Drain,Construction,Construction Manager at Risk (CMAR),0,,
Master On-Call: General Engineering - AECOM,MA-F165-15000169,Closed,Design Professional Master Contract,CNV136565,MA,102 - Design,Chicago,F165,1000000,0,0,1000000,10/01/2014 00:00:00,,,0,IL,,,Professional Service,,1000000,,
CP0586KLEI Kleinman Park Rectangular Rapid Flashing Beacon Talis Job Order,DO-F165-18008831,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,77550.81,0,0,77550.81,,05/21/2018 00:00:00,60,0,AZ,MA-F165-16000375R2,"Traffic Signals Kleinman, Traffic Signals Kleinman-funding only",Construction,Job Order Contracting (JOC),77550.81,,
Dobson Library Addition & Renovations and Main Library Kid's Zone - CP0903 - Emc2,DO-F165-19009149,Approved,Project Order,MAR6000224405,DO,102 - Design,Mesa,F165,268091,0,0,268091,05/02/2019 00:00:00,05/02/2019 00:00:00,0,0,AZ,MA-F165-19000170,"Dobson Library Improvements - FUNDING ONLY, Library Improvements - Dobson Expansion, Library Improvements - Main Library Kids Zone, Main Library Improvements - FUNDING ONLY",Professional Service,NA,222216,,
CP0875 Lehi SRP Service Line Relocation - ACS - Construction Monitoring,CT-F165-21000073,Closed,Design Professional Services Contract,VS0000001194,CT,104 - Construction,Tempe,F165,21473.32,0,0,21473.32,03/04/2021 00:00:00,03/04/2021 00:00:00,90,91,AZ,,"SRP Lehi Project Service Line Relocation, SRP Lehi Project Service Line Relocation - GAS Funding Only, SRP Lehi Project Service Line Relocation - WTR Funding Only",Professional Service,NA,0,,
CP0571 Elliot Road Improvements Nesbitt Contracting Company DBB,CT-F165-18000077,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV462756,CT,104 - Construction,Tempe,F165,10493797.91,0,0,10493797.91,05/29/2018 00:00:00,05/01/2018 00:00:00,270,457,AZ,,"Elliot Road Tech Corridor Visioning, Elliot Road Tech Corridor Visioning Project, Elliot Road Tech Corridor Visioning Projects SEW-Funding only, Elliot Waterline Improvements-Funding only",Construction,Design Bid Build (DBB),0,,
JOC-U19 Job Order Master Agreement GARNEY Specialty Utility,MA-F165-19003237,Approved,Job Order Master,CNV390275,MA,104 - Construction,Kansas City,F165,3000000,555004.96,0,2444995.04,06/24/2019 00:00:00,06/24/2019 00:00:00,365,366,MO,,,Construction,Job Order Contracting (JOC),3000000,,
Electric T&D On-Call Master Agreement - Kimley Horn & Associates - Renewal Year 1,MA-F165-21000184R1,Approved,Design Professional Master Contract,CNV445118,MA,102 - Design,Denver,F165,1000000,176570,0,823430,01/22/2022 00:00:00,01/22/2022 00:00:00,365,366,CO,,,Professional Service,NA,0,,
CP0880 Studios at Mesa City Center - Okland Construction - GMP #2,CT-F165-21000067,Approved,CMAR Construction Services Contract,VC0000043649,CT,104 - Construction,Tempe,F165,6974193.19,0,0,6974193.19,02/15/2021 00:00:00,02/10/2021 00:00:00,350,351,AZ,,"The Studios at Mesa City Center, The Studios at Mesa City Center - Funding Only",Construction,Construction Manager at Risk (CMAR),0,,
CP0550SIGN Dobson Police Department/Fire SubStation Monument Sign CP0550 - Caliente,DO-F165-15009674,Approved,Job Order,VS0000000709,DO,104 - Construction,Tempe,F165,7616,0,0,7616,04/30/2015 00:00:00,,14,0,AZ,MA-F165-15000199,Dobson PD/Fire Substation Monument Sign Repair,Construction,Job Order Contracting (JOC),7616,,
CP0678 Main Library Tenant Improvement Phase 1 KROLL CONTRACTORS,CT-F165-18000014,Approved,Construction Services Contract for Design-Bid-Build Projects,VC0000033999,CT,104 - Construction,Tempe,F165,306329.21,0,0,306329.21,08/21/2017 00:00:00,08/03/2017 00:00:00,120,177,AZ,,"CDBG PY 2015 MAIN LIBRARY, Main Library Renovations - ThinkSpot II, SRPMIC MAIN LIBRARY",Construction,Design Bid Build (DBB),0,,
JOC-W17 Water/Wastewater Plant Job Order Contract - Garney Construction,MA-F165-18000007,Approved,Job Order Master,CNV390275,MA,104 - Construction,Kansas City,F165,10000000,1204235.68,43098.3,8752666.02,07/01/2017 00:00:00,07/01/2017 00:00:00,365,366,MO,,,Construction,Job Order Contracting (JOC),10000000,,
Master On-Call: Landscape Arch - Olsson Associates,MA-F165-14000620,Closed,Design Professional Master Contract,CNV655767,MA,102 - Design,Lincoln,F165,1000000,0,0,1000000,05/07/2014 00:00:00,,,0,NE,,,Professional Service,,1000000,,
Master On-Call: Water Facilities - Wilson Engineers,MA-F165-15000147,Closed,Design Professional Master Contract,CNV309540,MA,102 - Design,Phoenix,F165,1000000,98295,0,901705,10/01/2014 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
Master On-Call WWW Plant Services - Carollo,MA-F165-21000090,Approved,Design Professional Master Contract,CNV133507,MA,,Salt Lake City,F165,1000000,0,0,1000000,,10/15/2020 00:00:00,0,0,UT,,,Professional Service,NA,0,,
"LF0495J05C Collector Street Mill and Overlays, J05C M R Tanner Development and Construction Job Order",DO-F165-23001706,Approved,Job Order,CNV700436,DO,104 - Construction,Gilbert,F165,539154,0,0,539154,10/03/2022 00:00:00,09/06/2022 00:00:00,125,126,AZ,MA-F165-22000304,"Overlay Residential Streets J05C - Partial, Overlay Residential Streets J05C - Partial - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
CP06300001 SEWRP Secondary Clarifier Drive Replacement,DO-F165-17000561,Approved,Job Order,CNV159034,DO,104 - Construction,Coolidge,F920,129303.44,0,0,129303.44,08/08/2016 00:00:00,08/03/2016 00:00:00,200,278,AZ,MA-F165-14000500R2,SEWRP Misc Plant Impr and Equip 0001 (Master CP0630),Construction,Job Order Contracting (JOC),0,,
Master On-Call: Water-Wastewater in ROW - Entellus,MA-F165-15000137,Closed,Design Professional Master Contract,CNV211745,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/01/2014 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
JOC-NG18 Job Order Master Agreement - RP Companies,MA-F165-19000249,Approved,Job Order Master,VS0000011309,MA,104 - Construction,Phoenix,F165,3000000,0,0,3000000,02/05/2019 00:00:00,01/07/2019 00:00:00,0,0,AZ,,,Construction,Job Order Contracting (JOC),0,,
Master On-Call: Mechanical Engineering - M3,MA-F165-15000161,Closed,Design Professional Master Contract,VS0000005431,MA,102 - Design,Tucson,F165,1000000,0,51920.33,948079.67,10/01/2014 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
JOC-MP20 RENEWAL2 Job Order Contract Master: Pueblo Mechanical,MA-F165-21000086R2,Approved,Job Order Master,VC0000012272,MA,104 - Construction,Tucson,F165,3000000,0,0,3000000,09/08/2022 00:00:00,09/08/2022 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP1027CELL Streetlight Small Cell (CP0534) Transmission & Distribution Services LLC,DO-F165-20009637,Approved,Project Order,VS0000012035,DO,104 - Construction,Albuquerque,F165,107710,0,0,107710,,06/17/2020 00:00:00,0,0,NM,MA-F165-19000177R1,"Elec New Svcs POM, Electric New Services POM",Professional Service,NA,107710,,
LF0019ITB  ITD Building HVAC Improvements  Energy Systems Design Inc,DO-F165-15006065,Closed,Project Order,VS0000001771,DO,102 - Design,Scottsdale,F165,74240,0,0,74240,,,,0,AZ,MA-F165-15000159,Info Tech Chillers/HVAC - Towers FY 12/13,Professional Service,,56011.56,,
"C10377CAP  Magma Rd Gas Main Extension, Hunt Hwy to Stardust Dr    Arizona Pipeline Company",CT-F165-16000028,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV85146,CT,104 - Construction,Hesperia,F165,130971.88,0,0,130971.88,07/10/2015 00:00:00,,75,76,CA,,Magma Road Hunt Hwy Johnson 4 in PE,Construction,Design Bid Build (DBB),0,,
CP0406 Old Roost Restaurant Demo - Caliente,DO-F165-17000324,Approved,Job Order,VS0000000709,DO,104 - Construction,Tempe,F165,88234.68,0,0,88234.68,08/02/2016 00:00:00,08/01/2016 00:00:00,,0,AZ,MA-F165-15000199R1,Land Parcel 36 Improvements,Construction,Job Order Contracting (JOC),0,,
CP1019 Public Safety Training Facility Burn Building - LEA Architects,DO-F165-21002187,Approved,Project Order,CNV694509,DO,102 - Design,Phoenix,F165,147397.5,0,0,147397.5,10/06/2020 00:00:00,10/06/2020 00:00:00,540,541,AZ,MA-F165-19000171R1,"2020 Public Safety Training Facility Burn Building, 2020 Public Safety Training Facility Burn Building - FUNDING ONLY",Professional Service,NA,136647.5,,
"Master On-Call 2018 RENEWAL: Electrical, Instrumentation, and Control Inspection and Testing Services - B&C",MA-F165-18000199R1,Approved,Design Professional Master Contract,CNV117684,MA,102 - Design,San Francisco,F165,250000,0,0,250000,03/29/2019 00:00:00,03/29/2019 00:00:00,0,0,CA,,,Professional Service,NA,0,,
JOC-W17 Water/Wastewater Job Order Contract - PCL Construction,MA-F165-18000006,Approved,Job Order Master,VS0000000927,MA,104 - Construction,Tempe,F165,10000000,88833.98,0,9911166.02,07/01/2017 00:00:00,07/01/2017 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),10000000,,
CP0875 SRP Lehi Service Line Relocation - Cultural Resources Survey - Desert Archaeology,CT-F165-20000065,Closed,Design Professional Services Contract,VS0000013095,CT,102 - Design,Tucson,F165,6944,0,0,6944,11/05/2019 00:00:00,11/05/2019 00:00:00,90,91,AZ,,"SRP Lehi Project Service Line Relocation, SRP Lehi Project Service Line Relocation - GAS Funding Only, SRP Lehi Project Service Line Relocation - WTR Funding Only",Professional Service,NA,0,,
JOC-G15 Renewal1 - Job Order Contract General Services - SDB,MA-F165-16000371R1,Approved,Job Order Master,CNV673366,MA,104 - Construction,Tempe,F165,5000000,1113627.09,0,3886372.91,04/28/2017 00:00:00,04/28/2017 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
Master On-Call: Landscape Arch - Norris Design,MA-F165-14000619,Closed,Design Professional Master Contract,VS0000001581,MA,102 - Design,Denver,F165,1000000,0,0,1000000,05/07/2014 00:00:00,06/10/2014 00:00:00,,0,CO,,,Professional Service,,1000000,,
Master ON-CALL RENEWAL - Architectural Category - HistoricStreetscapes PLLC,MA-F165-15000242R1,Closed,Design Professional Master Contract,CNV64629,MA,102 - Design,Mesa,F165,1000000,0,0,1000000,12/02/2015 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
CP0770HVAC Mesa Family Advocacy Center Building Improvements We Oneil Construction Company Of Arizona /CMAR,CT-F165-22000084,Approved,CMAR Construction Services Contract,CNV74756,CT,104 - Construction,Phoenix,F165,4926704,0,0,4926704,03/07/2022 00:00:00,02/09/2022 00:00:00,357,358,AZ,,"MFAC Building Improvements, MFAC HVAC and Roof Replacement  FUNDING ONLY",Construction,Construction Manager at Risk (CMAR),0,,
CP0340HVAC Upgrades to MRDC HVAC CORE Construction Job Order,DO-F165-18003318,Closed,Job Order,VS0000002305,DO,104 - Construction,Phoenix,F165,24366,0,0,24366,01/29/2018 00:00:00,12/19/2017 00:00:00,30,31,AZ,MA-F165-16000372R1,"CAP Mesa Regional Dispatch Center - FUNDING ONLY, Mesa Regional Dispatch Center Master",Construction,Job Order Contracting (JOC),0,,
CP0819 Somerset Circle Drainage Sunrise Engineering Project Order,DO-F165-21005524,Approved,Project Order,CNV417408,DO,102 - Design,Phoenix,F165,23468,0,0,23468,02/11/2021 00:00:00,02/11/2021 00:00:00,0,0,AZ,MA-F165-21000035,"Somerset Circle Drainage Improvements, Somerset Circle Drainage Improvements (CAP) - FUNDING ONLY",Professional Service,NA,22201,,
CP0887GAS Guard Post Installation Program B & F Contracting Job Order,DO-F165-19005083,Approved,Job Order,CNV668524,DO,104 - Construction,Phoenix,F165,647164.21,0,0,647164.21,02/21/2019 00:00:00,02/19/2019 00:00:00,220,221,AZ,MA-F165-16000376R2,"Guard Post Installation Program, Guard Post Installation Program - Funding Only",Construction,Job Order Contracting (JOC),0,,
20221129Ctest3,20221129C3,Estimate,CMAR Construction Services Contract,CNV100072,MA,,Scottsdale,F165,0,0,0,0,,,0,0,AZ,,20221129S3,Construction,Construction Manager at Risk (CMAR),0,,
"CP0586SOCH, GUJS, MLHI New Traffic Signals (Sothern Ave / Cheshire St ; Higley Rd / McLellan Rd; Guadalupe Rd / Joslyn St) Y2K Engineering Project Order",DO-F165-20005612,Approved,Project Order,VS0000011279,DO,102 - Design,Mesa,F165,134289,0,0,134289,,01/13/2020 00:00:00,0,0,AZ,MA-F165-19000110R1,"Traffic Signal - Guadalupe/Jocelyn (just west of SR202), Traffic Signal - Higley/McLellan, Traffic Signal - Southern/Cheshire (near Crismon), Traffic Signal Guadalupe/Jocelyn (just west of SR202)- FUNDING ONLY, Traffic Signal Higley/McLellan - FUNDING ONLY, Traffic Signal Southern/Cheshire (near Crismon) - FUNDING ONLY",Professional Service,NA,124379,,
LF0307 Vactor Head and Bleed off Valve Removal Talis,DO-F165-18006929,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,5724.04,0,0,5724.04,03/19/2018 00:00:00,03/08/2018 00:00:00,45,46,AZ,MA-F165-16000375R1,"Vactor Head &amp; Bleed off Valve Removal, Vactor Head &amp; Bleed off Valve Removal-Funding only",Construction,Job Order Contracting (JOC),0,,
KINGSBOROUGH PARK PLAYGROUND SHADES CP0486KPPS Valley Rain,DO-F165-17000308,Approved,Job Order,MAR222550210,DO,104 - Construction,Tempe,F165,72949.82,0,0,72949.82,,07/19/2016 00:00:00,,0,AZ,MA-F165-16000373,Engr Prk Playgrnd Upgrade 2012 KINGSPRKPYGDSHD,Construction,Job Order Contracting (JOC),68532,,
LF0487RTCC Mesa PD RTCC Fusion Center SDB Contracting Services Job Order,DO-F165-22004754,Approved,Job Order,CNV673366,DO,104 - Construction,Tempe,F165,410451.07,0,0,410451.07,01/11/2022 00:00:00,,75,78,AZ,MA-F165-19003215R2,"Mesa PD RTCC /  Fusion Center, Mesa PD RTCC /  Fusion Center - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
CP0364CAP Recoat Fire Protection Reservoirs at PMGA - RFI Consultants,CT-F165-16000043,Approved,Consultant Standard Terms Contract,VS0000002524,CT,102 - Design,Phoenix,F165,10350,0,0,10350,02/19/2015 00:00:00,,7,0,AZ,,Re-Coat Fire Protection Reservoirs at Phx/Mesa Airport,Professional Service,,10350,,
Master On-Call: Wastewater Facilities - Carollo,MA-F165-15000134,Closed,Design Professional Master Contract,CNV133507,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/01/2014 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
JOC-STI20 Job order Contract Master: Builders Guild Inc RENEWAL2,MA-F165-21000131R2,Approved,Job Order Master,CNV116092,MA,104 - Construction,Mesa,F165,1000000,0,0,1000000,10/12/2022 00:00:00,10/12/2022 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0383-0001 Wastewater Collection System Repairs Sunrise Engineering Project Order,DO-F165-17000229,Approved,Project Order,CNV23329,DO,102 - Design,Phoenix,F165,26708,0,0,26708,07/25/2016 00:00:00,,100,131,AZ,MA-F165-15000167R1,Sewer Line Rehabilitation 13SWR LNE REHBs,Professional Service,NA,0,,
C10525CST Mesa-Falcon Field A/P Plans Set A Runway Guard Lt Sys & Plan Set B REIL & PAPI Upg &07046 AJP,CT-F165-14000162,Closed,Construction Services Contract for Design-Bid-Build Projects,CNV169005,CT,104 - Construction,Phoenix,F165,767160.45,0,0,767160.45,05/21/2014 00:00:00,,500,0,AZ,,Runway Guard Light System Construction,Construction,Design Bid Build (DBB),0,,
Master On-Call 2018 Renewal 1:  Soils & Construction Materials Sampling & Testing,MA-F165-19000185R1,Closed,Design Professional Master Contract,CNV130575,MA,,Mesa,F165,250000,0,250000,0,,,0,0,AZ,,,Professional Service,NA,0,,
14000223,MA-F165-14000223,Approved,Design Professional Master Contract,CNV211745,MA,,Phoenix,F165,1000000,0,0,1000000,06/11/2013 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
CP0831RS01_RS04 Brooks/Lindsay Reservoir Repairs Hazen Sawyer Project Order,DO-F165-21006429,Approved,Project Order,VS0000004871,DO,102 - Design,Hicksville,F165,274080,0,0,274080,03/30/2021 00:00:00,03/30/2021 00:00:00,150,151,NY,MA-F165-21000092,"Brooks and Lindsay Reservoir Roof Replacement, Brooks and Lindsay Reservoir Roof Replacement - FUNDING ONLY, Brooks and Lindsay Reservoir Roof Replacement RS04 - FUNDING ONLY",Professional Service,NA,274080,,
CP0461-0016 CMAR Robson Electrical Substation East Bay Transformer - Switchgear Replacement - GMP No. 2 ESS Corporation,CT-F165- 21000006,Approved,CMAR Construction Services Contract,VC0000043842,CT,104 - Construction,Gilbert,F165,1269476.78,0,0,1269476.78,06/30/2020 00:00:00,06/30/2020 00:00:00,92,149,AZ,,"Rebuild Robson East Substation, Rebuild Robson East Substation Funding Only",Construction,Construction Manager at Risk (CMAR),0,,
CP0383-0006 was CP0474-002 Main & Lindsay Sewer Kinkaid Civil Construction LLC,CT-F165-18000004,Closed,Construction Services Contract for Design-Bid-Build Projects,VS0000009845,CT,104 - Construction,Mesa,F165,2115585.7,0,0,2115585.7,06/12/2017 00:00:00,05/08/2017 00:00:00,150,151,AZ,,"CON - Main and Lindsay Sewer Line - FUNDING ONLY, DES - Main and Lindsay Sewer Line - FUNDING ONLY, Sewer Line Rehab Main and Lindsay",Construction,Design Bid Build (DBB),0,05/08/2017 00:00:00,
CP0185CAP Sidewalk Ramp Improvements,DO-F165-15001343,Approved,Job Order,CNV570044,DO,,Tempe,F165,362828.69,0,0,362828.69,,,0,0,AZ,MA-F920-13000770Y2,"Bridge Sidewalk Ramp Improvements, Bridge Sidewalk Ramp Improvements Master",Construction,Job Order Contracting (JOC),362828.69,,
Master On-Call 2018 RENEWAL: Landscape Arch - RVI,MA-F165-18000255R1,Approved,Design Professional Master Contract,VS0000011625,MA,102 - Design,Tempe,F165,1000000,0,0,1000000,05/23/2019 00:00:00,05/23/2019 00:00:00,0,0,AZ,,,Professional Service,NA,0,,
"CP1008CAP Asset Management Room Conversion SD Crane Builders, Inc Job Order",DO-F165-21007953,Approved,Job Order,CNV90972,DO,104 - Construction,Mesa,F165,24641.17,0,0,24641.17,,,0,0,AZ,MA-F165-21000132,"Asset Management Room Conversion, Asset Management Room Conversion - FUNDING ONLY",Construction,Job Order Contracting (JOC),24641.17,,
East Mesa Service Center Space Planning - Adaptive Architects,DO-F165-18004433,Approved,Project Order,CNV380229,DO,102 - Design,Mesa,F165,7040,0,0,7040,,,0,0,AZ,MA-F165-17000204,Transportation Office Build - Funding Only,Professional Service,NA,4490,,
14000194,MA-F165-14000194,Approved,Design Professional Master Contract,CNV445118,MA,,City Of Industry,F165,1000000,0,0,1000000,08/13/2013 00:00:00,06/10/2014 00:00:00,,0,CA,,,Professional Service,,1000000,,
